Brand,CPU,RAM,Primary_Storage,GPU,Screen_Size,Resolution,Weight_kg,OS,Type,Battery_Hours,Touchscreen,Price_INR
ASUS,i5-12500H,32GB,2TB SSD,RTX 3060 6GB,17.3,FHD,2.7,Windows 10,Gaming Series,4.1,No,150000
Microsoft,i5-1235U,4GB,1TB SSD,MX550 2GB,15.6,FHD,2.0,Windows 11,Notebook,8.3,No,81000
Acer,Ryzen 5 5500U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.9,Linux,Ultrabook,6.3,No,64000
Avita,i9-12900H,8GB,1TB SSD,RTX 4060 8GB,16.0,QHD,2.4,Windows 11,Gaming Series,3.2,No,141000
Apple,Apple M1,16GB,512GB SSD,Integrated,14.0,Retina,1.4,macOS,Ultrabook,17.2,No,105000
Apple,Apple M1 Pro,16GB,512GB SSD,Integrated,14.0,Retina,1.7,macOS,Ultrabook,12.7,No,143000
Samsung,Ryzen 5 5500U,8GB,1TB SSD,Integrated,13.3,FHD,1.1,macOS,Ultrabook,9.0,No,67000
HP,Ryzen 3 3250U,8GB,512GB SSD,Integrated,14.0,FHD,1.8,Linux,Notebook,8.0,Yes,40000
Apple,Apple M2 Pro,8GB,256GB SSD,Integrated,14.0,Retina,1.5,macOS,Ultrabook,14.3,No,121000
Dell,i5-1135G7,16GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.4,Linux,Ultrabook,8.2,No,84000
Microsoft,i5-1235U,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.4,Linux,Ultrabook,5.9,No,108000
Samsung,Ryzen 7 5800H,64GB,512GB SSD,RTX 4060 8GB,17.3,FHD,2.3,Linux,Gaming Series,5.1,No,196000
Microsoft,i9-12900H,16GB,1TB SSD,RTX 4050 6GB,16.0,FHD,2.2,Windows 10,Gaming Series,3.9,No,153000
Acer,i7-1255U,16GB,512GB SSD,Integrated,15.6,HD,1.8,Windows 11,Business Series,7.4,No,87000
Infinix,i3-1215U,16GB,512GB SSD,Integrated,15.6,HD,1.5,macOS,Notebook,5.7,No,41000
ASUS,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,13.3,QHD,1.8,macOS,Ultrabook,7.4,No,96000
Samsung,i7-12700H,8GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.0,Windows 11,Ultrabook,5.9,No,92000
Samsung,i7-1255U,16GB,256GB SSD,Integrated,15.6,FHD,2.3,Windows 11,Notebook,5.6,No,87000
ASUS,Ryzen 9 5900HS,64GB,512GB SSD,RTX 4060 8GB,17.3,QHD,2.1,Windows 11,Gaming Series,5.6,No,231000
HP,i7-11800H,8GB,512GB SSD,GTX 1650 4GB,13.3,HD,2.0,Linux,Ultrabook,6.7,No,72000
HP,i7-12700H,64GB,1TB SSD,RTX 4060 8GB,17.3,FHD,2.1,Windows 10,Gaming Series,4.5,No,213000
Lenovo,i7-1255U,4GB,512GB SSD,MX550 2GB,13.3,FHD,2.0,macOS,Ultrabook,9.5,No,68000
Samsung,i7-12700H,32GB,1TB SSD,GTX 1650 4GB,16.0,QHD,2.0,Windows 10,Gaming Series,5.0,No,133000
Dell,i9-12900H,16GB,256GB SSD,Integrated,15.6,FHD,2.0,macOS,Notebook,8.9,No,88000
Microsoft,Ryzen 7 5800H,32GB,2TB SSD,GTX 1650 4GB,16.0,4K,2.0,Windows 11,Gaming Series,5.5,No,178000
HP,i5-1235U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,1.5,macOS,Ultrabook,5.9,No,81000
Dell,i3-1115G4,8GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,macOS,Notebook,7.3,Yes,49000
HP,Ryzen 9 5900HX,16GB,2TB SSD,Integrated,14.0,FHD,1.7,Windows 10,Business Series,8.1,No,106000
Samsung,Ryzen 9 5900HS,8GB,512GB SSD,MX550 2GB,14.0,HD,1.7,Windows 10,Notebook,8.2,No,83000
Dell,i9-12900H,16GB,512GB SSD,GTX 1650 4GB,14.0,HD,1.4,macOS,Ultrabook,6.4,No,108000
Microsoft,Ryzen 7 5800H,32GB,2TB SSD,RTX 4060 8GB,17.3,4K,2.4,Windows 10,Gaming Series,4.7,No,199000
ASUS,i3-1115G4,8GB,256GB SSD,MX550 2GB,13.3,FHD,1.2,Windows 11,Ultrabook,5.8,No,46000
ASUS,i7-12700H,4GB,256GB SSD,MX550 2GB,14.0,FHD,1.8,Linux,Notebook,5.8,No,65000
Avita,Ryzen 5 5600H,16GB,512GB SSD,Integrated,13.3,FHD,1.9,macOS,Ultrabook,6.6,No,53000
Avita,Ryzen 9 5900HX,32GB,2TB SSD,RTX 4060 8GB,17.3,FHD,2.4,macOS,Gaming Series,4.2,No,159000
Realme,i5-1135G7,8GB,1TB SSD,MX550 2GB,13.3,FHD,1.3,Windows 10,Ultrabook,6.2,No,61000
Acer,i9-12900H,32GB,256GB SSD,Integrated,13.3,HD,1.2,Windows 10,Ultrabook,8.5,No,118000
Samsung,Ryzen 3 3250U,4GB,256GB SSD,MX550 2GB,13.3,HD,1.2,DOS,Netbook,7.1,No,37000
Realme,Ryzen 5 5600H,16GB,512GB SSD,MX550 2GB,14.0,HD,1.5,macOS,Ultrabook,5.6,No,57000
Microsoft,i9-12900H,16GB,512GB SSD,RTX 3070 8GB,17.3,FHD,2.1,Windows 11,Gaming Series,4.8,No,161000
Avita,i5-1135G7,8GB,512GB SSD,Integrated,15.6,FHD,2.2,macOS,Notebook,8.5,No,45000
Samsung,Ryzen 9 5900HS,8GB,256GB SSD,MX550 2GB,14.0,FHD,1.6,macOS,Notebook,5.6,No,70000
Infinix,Ryzen 9 5900HS,8GB,1TB SSD,Integrated,15.6,QHD,1.6,Linux,Notebook,9.2,No,71000
Avita,Ryzen 7 5800H,16GB,2TB SSD,RTX 3070 8GB,16.0,FHD,2.5,Linux,Gaming Series,4.6,No,126000
Apple,Apple M1 Pro,8GB,256GB SSD,Integrated,13.3,Retina,1.5,macOS,Netbook,14.0,No,34950
HP,Ryzen 3 3250U,4GB,512GB HDD,Integrated,11.6,HD,1.4,Windows 11,Netbook,9.8,No,20000
Acer,Ryzen 7 5800H,8GB,512GB SSD,Integrated,15.6,HD,1.7,Windows 11,Notebook,5.4,No,51000
Infinix,i7-12700H,8GB,1TB SSD,Integrated,14.0,QHD,1.2,Windows 10,Ultrabook,8.1,No,74000
ASUS,Ryzen 3 3250U,8GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.8,macOS,Ultrabook,6.9,Yes,65000
MSI,i3-1215U,8GB,256GB HDD,MX550 2GB,13.3,HD,1.0,DOS,Netbook,8.0,No,44274
MSI,Ryzen 3 3250U,16GB,256GB SSD,GTX 1650 4GB,13.3,FHD,1.2,Windows 11,Ultrabook,7.4,No,93000
MSI,Ryzen 9 5900HS,16GB,2TB SSD,RTX 4050 6GB,15.6,QHD,2.2,Windows 11,Gaming Series,4.0,Yes,164000
HP,i3-1115G4,16GB,2TB SSD,Integrated,14.0,FHD,2.0,macOS,Business Series,10.0,No,79000
Dell,Ryzen 9 5900HS,16GB,512GB SSD,Integrated,15.6,FHD,1.8,Windows 11,Notebook,6.3,No,78000
ASUS,Ryzen 5 5500U,8GB,1TB SSD,MX550 2GB,15.6,QHD,2.3,Windows 10,Notebook,8.6,No,63000
HP,i3-1215U,8GB,256GB SSD,MX550 2GB,15.6,HD,1.6,Linux,Notebook,9.9,No,44000
HP,Ryzen 7 5800H,8GB,512GB SSD,RTX 3050 4GB,16.0,FHD,2.2,Windows 11,Gaming Series,3.5,No,75000
Dell,i7-12700H,8GB,256GB SSD,MX550 2GB,14.0,HD,1.8,Windows 11,Notebook,7.2,No,75000
Microsoft,Ryzen 3 3250U,16GB,256GB SSD,Integrated,14.0,FHD,2.2,Windows 11,Notebook,9.0,No,81000
MSI,Ryzen 9 5900HS,32GB,512GB SSD,Integrated,14.0,QHD,1.6,Linux,Business Series,8.8,No,133000
Acer,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.7,Windows 10,Notebook,7.8,No,63000
Avita,Ryzen 3 3250U,8GB,256GB SSD,Integrated,13.3,HD,1.4,Linux,Ultrabook,8.7,No,28000
ASUS,Ryzen 5 5500U,8GB,512GB SSD,Integrated,13.3,FHD,1.5,Windows 11,Ultrabook,5.5,No,48000
Infinix,i7-11800H,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.0,Windows 11,Business Series,7.3,No,85000
Dell,Ryzen 9 5900HS,32GB,1TB SSD,MX550 2GB,15.6,FHD,2.1,Linux,Business Series,8.8,No,109000
Acer,Ryzen 3 3250U,16GB,512GB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,7.0,No,55000
Infinix,i3-1215U,8GB,256GB SSD,Integrated,11.6,FHD,1.2,Linux,Netbook,9.6,No,18000
Apple,Apple M1 Pro,16GB,2TB SSD,Integrated,15.6,Retina,2.7,macOS,Gaming Series,17.6,No,161000
Avita,Ryzen 7 5700U,16GB,1TB SSD,MX550 2GB,13.3,FHD,1.6,Linux,Ultrabook,5.1,No,74000
Acer,i7-12700H,8GB,256GB SSD,Integrated,14.0,FHD,1.8,Linux,Notebook,7.7,No,60000
Infinix,i3-1115G4,16GB,2TB SSD,MX550 2GB,15.6,FHD,1.7,Windows 10,Business Series,6.7,No,77000
ASUS,i3-1115G4,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.6,Linux,Ultrabook,8.4,No,79000
MSI,i9-12900H,16GB,512GB SSD,RTX 3070 8GB,16.0,FHD,2.7,macOS,Gaming Series,5.6,No,168000
Realme,Ryzen 5 5600H,8GB,256GB SSD,Integrated,14.0,FHD,2.3,Windows 11,Notebook,6.7,No,38000
Apple,Apple M1,32GB,1TB SSD,Integrated,17.3,Retina,2.6,macOS,Gaming Series,14.3,No,162000
Infinix,Ryzen 3 3250U,8GB,256GB HDD,MX550 2GB,13.3,HD,1.1,Windows 10,Netbook,8.9,No,20000
Dell,Ryzen 3 3250U,4GB,256GB HDD,Integrated,13.3,FHD,1.1,Linux,Netbook,9.6,No,23000
Apple,Apple M1,8GB,512GB SSD,Integrated,17.3,Retina,2.4,macOS,Gaming Series,12.8,No,118000
Acer,Ryzen 5 5500U,16GB,512GB SSD,GTX 1650 4GB,14.0,FHD,2.3,Windows 11,Business Series,7.4,No,73000
Avita,Ryzen 9 5900HS,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.7,macOS,Notebook,6.4,No,66000
Apple,Apple M1,8GB,256GB SSD,Integrated,15.6,Retina,1.9,macOS,Notebook,16.5,No,90000
Lenovo,i5-12500H,16GB,256GB SSD,Integrated,14.0,FHD,2.0,macOS,Notebook,6.9,No,65000
Realme,i3-1215U,16GB,512GB SSD,MX550 2GB,15.6,FHD,2.3,Linux,Notebook,9.6,No,49000
Apple,Apple M1,8GB,512GB SSD,Integrated,14.0,Retina,2.0,macOS,Notebook,16.2,No,102000
Infinix,Ryzen 7 5800H,16GB,1TB SSD,Integrated,14.0,FHD,2.0,Windows 11,Ultrabook,7.1,No,58000
Realme,Ryzen 9 5900HS,16GB,1TB SSD,RTX 3060 6GB,15.6,4K,2.4,Linux,Gaming Series,4.2,No,123000
Microsoft,Ryzen 7 5800H,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.0,macOS,Gaming Series,5.8,No,143000
Samsung,Ryzen 7 5800H,16GB,512GB SSD,MX550 2GB,15.6,FHD,1.6,Windows 11,Business Series,5.5,No,87000
Dell,i3-1215U,8GB,256GB HDD,Integrated,11.6,HD,1.0,DOS,Netbook,8.1,No,30000
Samsung,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,15.6,FHD,1.5,Windows 11,Notebook,7.3,No,83000
Dell,i7-11800H,16GB,1TB SSD,MX550 2GB,15.6,HD,1.8,macOS,Notebook,7.1,No,98000
Dell,Ryzen 7 5800H,16GB,2TB SSD,RTX 3070 8GB,17.3,4K,2.7,macOS,Gaming Series,3.6,No,156000
Acer,i5-1235U,16GB,256GB SSD,MX550 2GB,15.6,QHD,1.6,Linux,Notebook,9.8,No,79000
Avita,i3-1115G4,8GB,256GB HDD,MX550 2GB,13.3,HD,1.1,macOS,Netbook,9.9,No,23000
Avita,Ryzen 7 5800H,8GB,512GB SSD,Integrated,14.0,FHD,1.9,Windows 10,Notebook,6.8,No,44000
MSI,i5-12500H,32GB,256GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Notebook,7.3,Yes,107000
Avita,i5-1235U,8GB,2TB SSD,Integrated,15.6,FHD,1.6,Windows 11,Business Series,7.5,No,72000
Avita,Ryzen 3 3250U,16GB,256GB SSD,Integrated,13.3,HD,1.2,Windows 10,Ultrabook,7.4,No,37000
Avita,i3-1115G4,4GB,256GB HDD,MX550 2GB,11.6,HD,1.1,Linux,Netbook,9.5,No,16000
Acer,i3-1215U,8GB,1TB SSD,MX550 2GB,13.3,HD,1.0,macOS,Ultrabook,8.3,No,50000
Apple,Apple M1 Pro,8GB,1TB SSD,Integrated,13.3,Retina,1.6,macOS,Ultrabook,14.3,No,127000
MSI,i5-12500H,8GB,2TB SSD,GTX 1650 4GB,15.6,FHD,2.8,macOS,Gaming Series,3.0,No,118000
Acer,i3-1215U,4GB,256GB HDD,MX550 2GB,11.6,HD,1.5,macOS,Netbook,8.8,No,21000
Microsoft,Ryzen 9 5900HS,8GB,512GB SSD,RTX 3060 6GB,16.0,FHD,2.5,Windows 10,Gaming Series,3.1,No,119000
ASUS,i3-1115G4,4GB,512GB HDD,MX550 2GB,13.3,FHD,1.4,DOS,Netbook,6.6,Yes,31000
ASUS,i5-1235U,8GB,256GB SSD,MX550 2GB,14.0,FHD,2.2,Linux,Notebook,8.6,No,68000
ASUS,i7-12700H,8GB,256GB SSD,MX550 2GB,14.0,4K,1.8,Linux,Ultrabook,7.0,No,81000
Realme,i3-1115G4,16GB,1TB SSD,Integrated,14.0,FHD,1.2,Linux,Ultrabook,9.8,No,52000
Acer,Ryzen 9 5900HS,32GB,256GB SSD,Integrated,14.0,FHD,2.2,macOS,Notebook,9.6,Yes,104000
Acer,Ryzen 5 5500U,8GB,1TB SSD,MX550 2GB,15.6,HD,2.2,Windows 10,Notebook,5.9,No,54000
Dell,i5-1135G7,4GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.7,Windows 11,Ultrabook,6.8,No,70000
Microsoft,i7-12700H,8GB,1TB SSD,MX550 2GB,15.6,HD,2.0,macOS,Business Series,6.5,No,108000
Realme,Ryzen 7 5800H,8GB,1TB SSD,MX550 2GB,15.6,FHD,2.3,Windows 10,Notebook,5.7,No,55000
Lenovo,i5-1235U,8GB,1TB SSD,Integrated,15.6,FHD,1.8,Windows 11,Notebook,6.9,No,61000
Realme,i7-11800H,8GB,1TB SSD,MX550 2GB,14.0,FHD,1.1,Windows 10,Ultrabook,5.1,No,69000
Dell,Ryzen 7 5800H,16GB,1TB SSD,RTX 4060 8GB,17.3,QHD,2.7,Windows 10,Gaming Series,6.0,No,133000
HP,i3-1215U,4GB,512GB HDD,MX550 2GB,11.6,FHD,1.4,macOS,Netbook,7.0,No,26000
Acer,Ryzen 9 5900HX,16GB,512GB SSD,MX550 2GB,15.6,HD,2.2,macOS,Notebook,7.1,No,79000
Lenovo,i3-1115G4,8GB,1TB SSD,Integrated,14.0,HD,2.1,Windows 10,Notebook,8.4,No,47000
Avita,Ryzen 3 3250U,4GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Linux,Ultrabook,5.7,No,39000
Apple,Apple M2,32GB,256GB SSD,Integrated,13.3,Retina,1.6,macOS,Ultrabook,14.0,No,139000
ASUS,Ryzen 9 5900HX,16GB,2TB SSD,RTX 3060 6GB,17.3,FHD,2.2,Linux,Gaming Series,3.9,No,127000
Microsoft,i9-12900H,16GB,1TB SSD,RTX 4060 8GB,15.6,FHD,2.3,macOS,Gaming Series,5.3,No,157000
HP,Ryzen 5 5600H,16GB,256GB SSD,GTX 1650 4GB,13.3,HD,1.3,Windows 11,Ultrabook,6.7,No,65000
Infinix,i9-12900H,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,9.9,No,69000
Lenovo,i5-12500H,16GB,2TB SSD,RTX 3060 6GB,17.3,QHD,2.8,Linux,Gaming Series,4.0,No,125000
Acer,i7-1255U,16GB,256GB SSD,MX550 2GB,14.0,HD,1.6,Windows 10,Ultrabook,5.1,No,81000
Apple,Apple M1,16GB,512GB SSD,Integrated,14.0,Retina,1.9,macOS,Ultrabook,17.4,No,114000
Avita,Ryzen 7 5700U,16GB,512GB SSD,Integrated,14.0,QHD,1.9,Linux,Ultrabook,10.0,No,62000
Dell,i7-12700H,4GB,1TB SSD,MX550 2GB,15.6,FHD,1.9,Windows 11,Notebook,9.7,No,67000
ASUS,i7-11800H,16GB,512GB SSD,Integrated,14.0,4K,2.3,macOS,Notebook,5.6,No,93000
Samsung,i5-1135G7,16GB,512GB SSD,MX550 2GB,14.0,FHD,2.0,Windows 10,Notebook,9.7,No,79000
Realme,Ryzen 9 5900HS,64GB,2TB SSD,GTX 1650 4GB,16.0,FHD,2.1,Windows 10,Gaming Series,3.8,No,196000
Samsung,Ryzen 7 5700U,16GB,1TB SSD,GTX 1650 4GB,14.0,FHD,1.7,macOS,Ultrabook,6.6,No,86000
MSI,i5-11400H,16GB,1TB SSD,Integrated,13.3,FHD,1.2,Windows 11,Ultrabook,9.6,No,93000
Apple,Apple M1 Pro,16GB,512GB SSD,Integrated,13.3,Retina,1.0,macOS,Ultrabook,17.9,No,126000
ASUS,Ryzen 3 3250U,8GB,1TB SSD,Integrated,13.3,FHD,1.2,Windows 11,Ultrabook,6.1,Yes,55000
Acer,i3-1115G4,8GB,512GB HDD,MX550 2GB,11.6,HD,1.2,Linux,Netbook,7.7,No,28000
Samsung,i7-11800H,16GB,1TB SSD,Integrated,15.6,HD,1.6,Windows 10,Notebook,7.1,Yes,86000
Dell,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,13.3,FHD,1.4,macOS,Ultrabook,10.0,No,74000
Infinix,Ryzen 9 5900HX,32GB,2TB SSD,RTX 3060 6GB,16.0,FHD,2.4,Linux,Gaming Series,3.3,No,133000
MSI,Ryzen 7 5800H,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.5,macOS,Ultrabook,6.7,No,89000
Acer,Ryzen 9 5900HS,64GB,512GB SSD,RTX 4060 8GB,17.3,FHD,2.3,Windows 10,Gaming Series,5.4,No,181000
Realme,i5-12500H,16GB,512GB SSD,GTX 1650 4GB,15.6,FHD,2.8,Windows 11,Gaming Series,3.1,No,94000
MSI,i5-11400H,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.1,Windows 11,Ultrabook,7.6,No,101000
Microsoft,Ryzen 7 5800H,4GB,1TB SSD,Integrated,13.3,FHD,2.0,macOS,Ultrabook,5.4,No,78000
Avita,Ryzen 5 5500U,16GB,1TB SSD,Integrated,13.3,FHD,1.9,Windows 11,Ultrabook,9.9,No,57000
MSI,i3-1115G4,8GB,256GB SSD,MX550 2GB,13.3,HD,1.4,Windows 11,Netbook,7.6,No,40370
Lenovo,Ryzen 7 5700U,8GB,256GB SSD,Integrated,14.0,QHD,2.0,Windows 11,Notebook,8.3,No,60000
Apple,Apple M2,4GB,256GB SSD,Integrated,13.3,Retina,1.1,macOS,Netbook,15.9,No,41868
MSI,Ryzen 7 5800H,8GB,512GB SSD,MX550 2GB,15.6,FHD,2.1,Windows 11,Notebook,6.7,No,80000
HP,i7-1255U,8GB,512GB SSD,MX550 2GB,15.6,HD,1.9,Windows 10,Notebook,7.9,No,65000
Infinix,i3-1115G4,16GB,256GB SSD,Integrated,15.6,FHD,2.0,Windows 11,Notebook,5.3,No,37000
HP,i7-12700H,32GB,1TB SSD,RTX 3070 8GB,16.0,QHD,2.5,Windows 10,Gaming Series,3.4,No,143000
Infinix,i9-12900H,4GB,1TB SSD,MX550 2GB,15.6,FHD,1.8,Windows 10,Notebook,10.0,Yes,70000
Dell,i7-12700H,8GB,2TB SSD,RTX 3050 4GB,16.0,QHD,2.7,Linux,Gaming Series,4.2,No,110000
Apple,Apple M2,8GB,512GB SSD,Integrated,15.6,Retina,1.6,macOS,Notebook,16.5,No,103000
Acer,Ryzen 7 5800H,16GB,2TB SSD,RTX 3060 6GB,17.3,4K,2.2,Windows 10,Gaming Series,5.2,No,140000
Acer,Ryzen 7 5800H,16GB,1TB SSD,Integrated,14.0,FHD,1.3,macOS,Ultrabook,6.1,No,71000
ASUS,Ryzen 3 3250U,4GB,512GB HDD,MX550 2GB,13.3,HD,1.1,DOS,Netbook,8.7,No,27000
Apple,Apple M1 Pro,16GB,512GB SSD,Integrated,15.6,Retina,1.8,macOS,Notebook,16.3,No,143000
Infinix,Ryzen 5 5500U,32GB,512GB SSD,MX550 2GB,14.0,QHD,1.8,macOS,Ultrabook,9.1,No,85000
HP,i9-12900H,8GB,512GB SSD,Integrated,15.6,FHD,1.7,Linux,Notebook,8.7,No,75000
HP,Ryzen 7 5800H,16GB,1TB SSD,MX550 2GB,14.0,QHD,1.0,Linux,Ultrabook,9.2,No,90000
Realme,Ryzen 9 5900HS,8GB,512GB SSD,GTX 1650 4GB,13.3,QHD,1.9,Windows 11,Ultrabook,7.1,No,84000
ASUS,i5-11400H,8GB,1TB SSD,Integrated,14.0,QHD,1.6,Windows 11,Ultrabook,6.9,No,67000
Avita,Ryzen 9 5900HS,32GB,1TB SSD,RTX 3060 6GB,15.6,QHD,2.1,macOS,Gaming Series,5.1,No,130000
Samsung,i5-12500H,8GB,512GB SSD,Integrated,14.0,HD,1.9,Windows 10,Business Series,5.5,No,71000
Dell,i7-11800H,16GB,2TB SSD,MX550 2GB,15.6,HD,1.8,Linux,Business Series,8.8,No,118000
Avita,i3-1215U,8GB,256GB HDD,MX550 2GB,11.6,HD,1.2,Windows 11,Netbook,7.1,No,21000
ASUS,Ryzen 9 5900HS,32GB,2TB SSD,GTX 1650 4GB,16.0,FHD,2.7,macOS,Gaming Series,4.0,No,134000
Infinix,i3-1115G4,4GB,256GB HDD,MX550 2GB,11.6,HD,1.1,Linux,Netbook,9.0,Yes,13000
HP,i3-1215U,4GB,256GB SSD,MX550 2GB,13.3,HD,1.3,Linux,Netbook,7.1,No,29000
Microsoft,i3-1215U,8GB,256GB SSD,Integrated,11.6,FHD,1.1,Linux,Netbook,7.9,No,22955
ASUS,Ryzen 5 5500U,16GB,2TB SSD,MX550 2GB,14.0,FHD,2.2,Windows 11,Business Series,5.8,No,95000
HP,i7-1255U,16GB,256GB SSD,GTX 1650 4GB,14.0,HD,1.6,Windows 11,Ultrabook,8.6,No,90000
ASUS,Ryzen 7 5700U,16GB,512GB SSD,MX550 2GB,15.6,QHD,1.8,Windows 11,Notebook,9.2,No,79000
Realme,Ryzen 5 5500U,16GB,1TB SSD,MX550 2GB,14.0,FHD,1.9,Windows 10,Notebook,8.9,No,64000
Acer,Ryzen 9 5900HX,16GB,2TB SSD,RTX 4050 6GB,17.3,FHD,2.1,Linux,Gaming Series,4.3,No,131000
MSI,i7-11800H,16GB,512GB SSD,GTX 1650 4GB,13.3,FHD,1.4,Windows 11,Ultrabook,6.4,No,118000
Acer,Ryzen 5 5600H,8GB,256GB SSD,Integrated,14.0,FHD,1.6,macOS,Notebook,6.4,No,45000
Acer,i5-1235U,32GB,256GB SSD,MX550 2GB,14.0,FHD,2.2,macOS,Notebook,8.9,No,89000
MSI,i3-1115G4,4GB,256GB HDD,Integrated,13.3,HD,1.3,DOS,Netbook,7.8,No,39000
Dell,i5-11400H,16GB,512GB SSD,MX550 2GB,14.0,QHD,1.6,Linux,Ultrabook,8.4,Yes,79000
ASUS,i3-1115G4,4GB,256GB SSD,MX550 2GB,11.6,HD,1.1,Windows 11,Netbook,6.6,No,34000
Acer,Ryzen 9 5900HX,32GB,1TB SSD,RTX 4060 8GB,16.0,FHD,2.4,Windows 10,Gaming Series,4.8,Yes,156000
Dell,Ryzen 3 3250U,8GB,256GB SSD,MX550 2GB,15.6,FHD,1.6,macOS,Notebook,9.5,No,47000
Acer,i3-1115G4,4GB,256GB SSD,Integrated,13.3,HD,1.2,macOS,Netbook,9.0,Yes,21000
ASUS,i7-12700H,16GB,256GB SSD,MX550 2GB,15.6,FHD,1.6,Linux,Notebook,7.3,No,88000
Avita,i9-12900H,16GB,2TB SSD,RTX 4060 8GB,17.3,QHD,2.3,Linux,Gaming Series,3.3,No,147000
ASUS,Ryzen 7 5700U,8GB,512GB SSD,Integrated,15.6,QHD,1.9,Windows 10,Notebook,9.9,Yes,61000
Dell,i3-1115G4,8GB,256GB HDD,MX550 2GB,11.6,HD,1.5,Windows 10,Netbook,9.2,No,31000
Infinix,Ryzen 9 5900HX,16GB,2TB SSD,GTX 1650 4GB,15.6,FHD,1.9,macOS,Business Series,7.8,No,106000
MSI,Ryzen 9 5900HX,16GB,512GB SSD,RTX 3050 4GB,17.3,QHD,2.4,Windows 10,Gaming Series,4.7,No,148000
Microsoft,Ryzen 5 5500U,16GB,512GB SSD,MX550 2GB,13.3,FHD,1.6,Windows 11,Ultrabook,7.5,No,86000
Acer,i3-1215U,8GB,512GB HDD,Integrated,11.6,HD,1.2,DOS,Netbook,7.1,No,22000
Infinix,i3-1215U,4GB,256GB HDD,MX550 2GB,11.6,HD,1.4,DOS,Netbook,6.3,No,14000
Realme,i3-1215U,8GB,512GB SSD,MX550 2GB,14.0,FHD,2.3,Windows 10,Notebook,8.9,No,37000
ASUS,Ryzen 7 5800H,16GB,1TB SSD,Integrated,14.0,FHD,1.7,Windows 11,Notebook,6.2,No,83000
HP,i5-11400H,4GB,512GB SSD,Integrated,13.3,FHD,1.5,Linux,Ultrabook,9.0,No,46000
Infinix,i9-12900H,4GB,512GB SSD,MX550 2GB,15.6,FHD,2.2,Windows 10,Notebook,9.8,No,60000
Infinix,i3-1215U,4GB,256GB SSD,Integrated,13.3,HD,1.4,DOS,Netbook,7.3,Yes,12000
Apple,Apple M1 Pro,4GB,512GB HDD,Integrated,11.6,Retina,0.9,macOS,Netbook,12.6,No,31165
MSI,i3-1215U,8GB,256GB SSD,Integrated,14.0,FHD,2.1,Windows 11,Notebook,6.5,No,67000
ASUS,i3-1115G4,4GB,256GB HDD,MX550 2GB,11.6,HD,1.0,Windows 11,Netbook,6.6,No,26000
Acer,i3-1215U,4GB,1TB SSD,Integrated,15.6,FHD,2.1,Linux,Notebook,9.3,No,36000
ASUS,Ryzen 9 5900HS,8GB,512GB SSD,GTX 1650 4GB,13.3,QHD,1.5,Windows 11,Ultrabook,9.0,No,81000
Samsung,i3-1215U,4GB,512GB HDD,MX550 2GB,11.6,HD,1.2,macOS,Netbook,8.5,No,36000
MSI,i5-11400H,16GB,1TB SSD,Integrated,14.0,FHD,1.6,Linux,Notebook,5.3,No,96000
Realme,i3-1115G4,4GB,256GB SSD,MX550 2GB,11.6,FHD,1.4,Windows 11,Netbook,9.7,Yes,22000
Lenovo,i5-12500H,32GB,512GB SSD,RTX 3050 4GB,15.6,FHD,2.1,Windows 11,Gaming Series,4.6,Yes,105000
HP,Ryzen 7 5800H,16GB,1TB SSD,GTX 1650 4GB,13.3,FHD,1.3,Windows 10,Ultrabook,5.9,Yes,93000
Lenovo,i3-1115G4,8GB,512GB HDD,MX550 2GB,11.6,HD,1.3,DOS,Netbook,9.9,No,32000
Microsoft,i7-12700H,32GB,256GB SSD,GTX 1650 4GB,14.0,FHD,1.4,Linux,Ultrabook,8.1,No,143000
Samsung,i5-1235U,32GB,1TB SSD,Integrated,14.0,FHD,2.3,Windows 11,Business Series,5.6,No,110000
ASUS,i3-1115G4,4GB,256GB SSD,GTX 1650 4GB,14.0,QHD,1.1,macOS,Ultrabook,6.7,No,59000
